,SPY,GOOG,AAPL,XOM,IBM,Symbol,Order,Shares
2011-01-14,125.44,624.18,346.99,74.62,145.7,AAPL,BUY,1500.0
2011-01-18,125.65,639.63,339.19,75.45,146.33,,,
2011-01-19,124.42,631.75,337.39,75.0,151.22,AAPL,SELL,1500.0
2011-01-19,124.42,631.75,337.39,75.0,151.22,IBM,BUY,4000.0
2011-01-20,124.26,626.77,331.26,74.53,151.33,,,
2011-01-21,124.54,611.83,325.32,75.71,151.04,,,
2011-01-24,125.25,611.08,336.01,75.34,155.05,,,
2011-01-25,125.31,619.91,339.94,75.43,156.81,,,
2011-01-26,125.8,616.5,342.38,76.37,156.42,,,
2011-01-27,126.11,616.79,341.74,76.58,156.45,,,
2011-01-28,123.91,600.99,334.66,75.72,154.64,,,
2011-01-31,124.84,600.36,337.87,77.34,157.35,GOOG,BUY,1000.0
2011-02-01,126.84,611.04,343.55,80.44,158.87,,,
2011-02-02,126.6,612.0,342.85,79.96,158.62,,,
2011-02-03,126.88,610.15,341.97,79.99,158.84,,,
2011-02-04,127.24,610.98,345.02,79.84,159.3,XOM,SELL,4000.0
2011-02-07,128.03,614.29,350.38,80.46,160.09,,,
2011-02-08,128.61,618.38,353.68,79.97,161.93,,,
2011-02-09,128.32,616.5,356.63,79.55,160.56,,,
2011-02-10,128.37,616.44,353.02,80.18,160.02,,,
2011-02-11,129.14,624.5,355.32,79.81,159.78,XOM,BUY,4000.0
2011-02-14,129.45,628.15,357.64,81.83,159.17,,,
2011-02-15,129.04,624.15,358.36,79.96,158.8,,,
2011-02-16,129.85,624.22,361.58,80.65,159.34,,,
2011-02-17,130.24,625.26,356.77,80.83,160.16,,,
2011-02-18,130.51,630.08,349.06,81.43,160.75,,,
2011-02-22,127.9,610.21,337.16,82.34,157.93,,,
2011-02-23,127.11,611.32,341.16,83.91,156.2,,,
2011-02-24,127.02,608.82,341.41,82.85,156.78,,,
2011-02-25,128.38,610.04,346.67,82.24,158.25,,,
2011-02-28,129.18,613.4,351.7,82.42,157.86,,,
2011-03-01,127.02,600.76,347.82,81.72,156.0,,,
2011-03-02,127.29,600.79,350.61,81.99,156.18,GOOG,SELL,1000.0
2011-03-02,127.29,600.79,350.61,81.99,156.18,IBM,SELL,2200.0
2011-03-03,129.49,609.56,358.02,82.7,159.42,,,
2011-03-04,128.52,600.62,358.46,81.99,157.81,,,
2011-03-07,127.51,591.66,353.84,81.64,155.96,,,
2011-03-08,128.62,592.31,354.24,81.53,158.25,,,
2011-03-09,128.44,591.77,350.96,81.32,161.74,,,
2011-03-10,126.06,580.3,345.19,78.43,158.0,,,
2011-03-11,126.93,576.71,350.49,79.14,158.4,,,
2011-03-14,126.17,569.99,352.05,79.39,157.38,,,
2011-03-15,124.72,569.56,343.95,78.44,155.07,,,
2011-03-16,122.41,557.1,328.6,76.43,149.2,,,
2011-03-17,124.03,561.36,333.21,78.21,150.35,,,
2011-03-18,124.48,561.06,329.26,77.91,152.02,,,
2011-03-21,126.41,576.5,337.85,79.83,153.76,,,
2011-03-22,125.98,577.32,339.74,79.56,154.08,,,
2011-03-23,126.34,582.16,337.74,79.6,155.57,,,
2011-03-24,127.54,586.89,343.5,79.73,156.07,,,
2011-03-25,127.93,579.74,350.04,80.58,158.15,,,
2011-03-28,127.62,575.36,348.94,80.44,157.36,,,
2011-03-29,128.48,581.73,349.46,80.23,158.84,,,
2011-03-30,129.37,581.84,347.14,81.42,159.54,,,
2011-03-31,129.19,586.76,347.02,81.08,159.02,,,
2011-04-01,129.74,591.8,343.09,81.61,160.19,,,
2011-04-04,129.84,587.68,339.73,81.79,160.17,,,
2011-04-05,129.82,569.09,337.44,82.32,159.92,,,
2011-04-06,130.23,574.18,336.59,82.09,159.97,,,
2011-04-07,129.9,580.0,336.63,82.65,160.3,,,
2011-04-08,129.45,578.16,333.63,82.83,159.98,,,
2011-04-11,129.06,577.37,329.39,82.07,159.88,,,
2011-04-12,128.1,570.61,330.98,80.16,159.2,,,
2011-04-13,128.09,576.28,334.69,80.14,159.88,,,
2011-04-14,128.19,578.51,331.0,80.41,160.87,,,
2011-04-15,128.66,530.7,326.06,81.23,162.08,,,
2011-04-18,127.21,526.84,330.43,80.08,161.82,,,
2011-04-19,127.94,521.53,336.42,80.76,161.29,,,
2011-04-20,129.69,525.73,340.95,82.54,160.66,,,
2011-04-21,130.35,525.1,349.2,83.22,164.1,,,
2011-04-25,130.21,525.05,351.5,83.09,163.51,,,
2011-04-26,131.33,532.82,348.92,84.25,164.31,,,
2011-04-27,132.19,537.76,348.65,84.59,166.14,,,
2011-04-28,132.62,537.97,345.27,84.17,166.54,,,
2011-04-29,132.93,544.1,348.63,84.79,166.34,,,
2011-05-02,132.73,538.56,344.8,83.81,167.87,,,
2011-05-03,132.25,533.89,346.71,82.51,168.58,,,
2011-05-04,131.37,535.79,348.08,81.73,166.38,,,
2011-05-05,130.18,534.27,345.27,79.62,164.28,,,
2011-05-06,130.76,535.3,345.18,79.69,165.43,,,
2011-05-09,131.27,537.68,346.11,80.16,165.64,,,
2011-05-10,132.39,542.66,347.96,80.31,166.89,,,
2011-05-11,130.99,535.45,345.75,78.62,166.03,,,
2011-05-12,131.62,535.05,345.09,78.55,168.71,,,
2011-05-13,130.6,529.55,339.04,78.38,166.44,,,
2011-05-16,129.78,518.42,331.88,77.77,165.4,,,
2011-05-17,129.76,530.46,334.7,77.93,167.01,,,
2011-05-18,130.92,529.81,338.42,79.22,166.95,,,
2011-05-19,131.23,531.25,339.07,79.79,167.1,,,
2011-05-20,130.18,524.03,333.79,79.05,166.68,,,
2011-05-23,128.67,518.39,332.97,78.18,164.82,IBM,BUY,1500.0
2011-05-24,128.57,518.26,330.77,78.78,164.55,,,
2011-05-25,129.0,519.67,335.34,79.43,164.32,,,
2011-05-26,129.59,518.13,333.57,79.85,163.76,,,
2011-05-27,130.09,520.9,335.97,80.08,164.07,,,
2011-05-31,131.44,529.02,346.34,80.9,165.47,,,
2011-06-01,128.49,525.6,344.03,79.5,163.15,,,
2011-06-02,128.35,528.06,344.62,78.82,162.69,IBM,SELL,3300.0
2011-06-03,127.08,523.08,341.97,78.68,161.67,,,
2011-06-06,125.73,521.06,336.59,77.81,161.38,,,
2011-06-07,125.65,519.03,330.62,77.53,160.34,,,
2011-06-08,125.13,519.17,330.82,78.27,160.98,,,
2011-06-09,126.08,516.73,330.07,78.68,161.47,,,
2011-06-10,124.33,509.51,324.51,77.32,159.84,AAPL,BUY,1200.0
2011-06-13,124.43,504.73,325.2,76.79,159.83,,,
2011-06-14,126.0,508.37,331.02,77.9,160.76,,,
2011-06-15,123.76,502.95,325.35,76.23,159.01,,,
2011-06-16,124.04,500.37,323.77,76.78,159.34,,,
2011-06-17,124.41,485.02,318.89,76.58,161.07,,,
2011-06-20,125.04,484.58,313.97,77.25,161.64,,,
2011-06-21,126.76,493.0,323.91,78.09,162.82,,,
2011-06-22,125.99,487.01,321.23,77.36,162.29,,,
2011-06-23,125.63,480.22,329.81,76.02,162.72,,,
2011-06-24,124.17,474.88,324.95,74.41,161.69,,,
2011-06-27,125.28,482.8,330.62,75.52,164.19,,,
2011-06-28,126.91,493.65,333.83,77.17,166.53,,,
2011-06-29,128.0,497.57,332.61,77.78,167.05,,,
2011-06-30,129.22,506.38,334.23,78.87,168.04,,,
2011-07-01,131.13,521.03,341.79,79.48,170.97,,,
2011-07-05,131.03,532.44,347.94,79.08,171.84,,,
2011-07-06,131.18,535.36,350.26,79.05,174.07,,,
2011-07-07,132.54,546.6,355.67,79.82,172.87,,,
2011-07-08,131.6,531.99,358.17,79.88,172.88,,,
2011-07-11,129.22,527.28,352.49,79.37,171.41,,,
2011-07-12,128.67,534.01,352.24,79.36,170.49,,,
2011-07-13,129.1,538.26,356.49,79.94,170.75,,,
2011-07-14,128.21,528.94,356.24,79.7,170.66,,,
2011-07-15,128.95,597.62,363.36,80.44,171.95,,,
2011-07-18,127.89,594.94,372.2,80.1,171.69,,,
2011-07-19,129.97,602.55,375.24,81.05,181.42,,,
2011-07-20,129.89,595.35,385.25,80.73,179.89,,,
2011-07-21,131.69,606.99,385.63,82.4,181.11,,,
2011-07-22,131.78,618.23,391.62,82.59,181.39,,,
2011-07-25,131.05,618.98,396.8,81.96,179.94,,,
2011-07-26,130.56,622.52,401.69,81.77,179.19,,,
2011-07-27,127.88,607.22,390.91,80.74,177.64,,,
2011-07-28,127.51,610.94,390.14,78.95,178.08,,,
2011-07-29,126.64,603.69,388.81,77.33,178.13,,,
2011-08-01,126.1,606.77,395.05,77.15,177.05,,,
2011-08-02,122.88,592.4,387.25,75.44,174.4,,,
2011-08-03,123.55,601.17,390.89,75.32,175.17,,,
2011-08-04,117.76,577.52,375.76,71.56,167.97,,,
2011-08-05,117.58,579.04,372.02,72.51,169.44,,,
2011-08-08,109.92,546.02,351.7,68.03,163.53,,,
2011-08-09,115.04,573.41,372.41,69.43,167.84,GOOG,BUY,55.0
2011-08-10,109.95,549.01,362.14,66.37,159.91,,,
2011-08-11,114.89,562.13,372.1,69.83,164.03,GOOG,SELL,55.0
2011-08-12,115.66,563.77,375.38,70.24,165.47,,,
2011-08-15,118.11,557.23,381.77,72.47,170.19,,,
2011-08-16,117.1,539.0,378.85,71.7,168.46,,,
2011-08-17,117.18,533.15,378.81,72.35,168.7,,,
2011-08-18,112.13,504.88,364.49,69.21,161.17,,,
2011-08-19,110.3,490.92,354.51,68.09,154.99,,,
2011-08-22,110.38,498.17,354.92,68.46,156.4,,,
2011-08-23,114.02,518.82,372.0,71.86,161.66,,,
2011-08-24,115.62,523.29,374.57,71.74,164.06,,,
2011-08-25,113.86,520.04,372.12,70.02,162.9,,,
2011-08-26,115.52,526.86,381.94,70.86,166.4,,,
2011-08-29,118.84,539.08,388.3,72.31,169.82,,,
2011-08-30,119.15,540.7,388.32,72.1,169.71,,,
2011-08-31,119.68,540.96,383.18,72.21,169.12,,,
2011-09-01,118.42,532.5,379.4,71.69,167.57,,,
2011-09-02,115.4,524.84,372.45,70.38,164.27,,,
2011-09-06,114.56,522.18,378.12,69.41,162.43,,,
2011-09-07,117.79,534.03,382.29,71.85,164.6,,,
2011-09-08,116.56,534.96,382.5,71.04,162.57,,,
2011-09-09,113.51,524.85,375.87,69.27,158.75,,,
2011-09-12,114.24,530.12,378.32,70.08,159.79,,,
2011-09-13,115.29,529.52,382.98,69.9,160.78,,,
2011-09-14,116.89,532.07,387.64,70.86,164.53,,,
2011-09-15,118.9,542.56,391.28,72.2,167.33,,,
2011-09-16,119.61,546.68,398.79,72.73,170.19,,,
2011-09-19,118.42,546.67,409.87,71.9,170.32,,,
2011-09-20,118.28,546.63,411.68,72.2,171.89,,,
2011-09-21,114.79,539.2,410.38,70.21,170.22,,,
2011-09-22,111.08,520.66,400.1,67.55,165.89,,,
2011-09-23,111.75,525.51,402.57,67.62,166.6,,,
2011-09-26,114.41,531.89,401.45,69.97,171.68,,,
2011-09-27,115.69,539.34,397.55,71.13,174.83,,,
2011-09-28,113.33,528.84,395.31,70.31,174.67,,,
2011-09-29,114.22,527.5,388.9,72.07,176.27,,,
2011-09-30,111.37,515.04,379.69,70.86,172.04,,,
2011-10-03,108.2,495.52,373.0,69.41,170.48,,,
2011-10-04,110.57,501.9,370.91,71.05,171.91,,,
2011-10-05,112.62,504.7,376.63,72.14,173.98,,,
2011-10-06,114.66,514.71,375.76,72.08,178.75,,,
2011-10-07,113.89,515.12,368.22,71.76,179.43,,,
2011-10-10,117.7,537.17,387.15,74.42,183.6,,,
2011-10-11,117.82,543.18,398.58,74.41,182.0,,,
2011-10-12,118.85,548.5,400.47,75.27,183.1,,,
2011-10-13,118.61,558.99,406.68,74.5,183.79,,,
2011-10-14,120.64,591.68,420.2,76.2,187.44,,,
2011-10-17,118.34,582.41,418.19,75.58,183.57,,,
2011-10-18,120.65,590.51,420.43,76.96,176.0,,,
2011-10-19,119.22,580.7,396.92,76.51,174.52,,,
2011-10-20,119.75,583.67,393.62,76.79,174.38,,,
2011-10-21,122.02,590.49,391.19,78.17,178.69,,,
2011-10-24,123.52,596.42,404.04,78.21,179.3,,,
2011-10-25,121.11,583.16,396.07,77.5,177.44,,,
2011-10-26,122.34,586.31,398.89,79.09,179.02,,,
2011-10-27,126.61,598.67,402.96,79.88,182.87,,,
2011-10-28,126.58,600.14,403.22,79.49,184.41,,,
2011-10-31,123.52,592.64,403.05,76.18,181.64,,,
2011-11-01,120.08,578.65,394.81,74.08,178.41,,,
2011-11-02,122.04,584.82,395.71,75.48,180.94,,,
2011-11-03,124.26,597.5,401.35,76.93,184.26,,,
2011-11-04,123.51,596.14,398.53,76.6,183.36,,,
2011-11-07,124.27,608.33,398.02,77.41,184.28,,,
2011-11-08,125.87,612.34,404.49,78.27,184.96,,,
2011-11-09,121.22,600.95,393.59,75.95,180.01,,,
2011-11-10,122.36,595.08,383.57,77.23,181.1,,,
2011-11-11,124.67,608.35,382.98,78.24,185.08,,,
2011-11-14,123.49,613.0,377.64,77.49,185.05,,,
2011-11-15,124.1,616.56,387.17,77.62,186.44,,,
2011-11-16,122.13,611.47,383.13,76.79,184.33,,,
2011-11-17,120.19,600.87,375.8,76.41,183.45,,,
2011-11-18,120.06,594.88,373.34,76.45,182.97,,,
2011-11-21,117.78,580.94,367.43,75.48,179.26,,,
2011-11-22,117.31,580.0,374.9,74.61,179.09,,,
2011-11-23,114.73,570.11,365.42,73.19,175.77,,,
2011-11-25,114.51,563.0,362.02,72.52,174.89,,,
2011-11-28,117.83,588.19,374.51,74.43,179.98,,,
2011-11-29,118.16,582.93,371.6,75.5,178.72,,,
2011-11-30,123.02,599.39,380.57,78.94,185.7,,,
2011-12-01,123.0,613.77,386.27,78.3,187.13,,,
2011-12-02,122.89,620.36,388.03,78.3,187.34,,,
2011-12-05,124.23,625.65,391.33,78.95,188.5,,,
2011-12-06,124.27,623.77,389.28,79.31,190.58,,,
2011-12-07,124.74,623.39,387.43,79.57,191.67,,,
2011-12-08,122.0,616.05,388.99,78.38,189.23,,,
2011-12-09,124.07,627.42,391.94,79.82,192.18,,,
2011-12-12,122.26,625.39,390.16,78.56,189.83,,,
2011-12-13,121.11,625.63,387.15,79.03,188.81,,,
2011-12-14,119.82,618.07,378.56,77.96,186.41,AAPL,SELL,1200.0
